C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_36_643.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_36_643.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_36_643.jpg, 0, 0, 0, 1.803981E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_36_750.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_36_750.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_36_750.jpg, 0, 0, 0, 3.059476E-06
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_36_853.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_36_853.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_36_853.jpg, 0, 0, 0, 6.013574E-06
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_36_955.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_36_955.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_36_955.jpg, 0, 0, 0, 1.094327E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_060.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_060.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_060.jpg, 0, 0, 0, 2.07656E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_166.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_166.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_166.jpg, 0, 0, 0, 1.72922E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_271.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_271.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_271.jpg, 0, 0, 0, 1.015769E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_373.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_373.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_373.jpg, 0, 0, 0, 2.304524E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_475.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_475.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_475.jpg, 0, 0, 0, 2.32095E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_584.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_584.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_584.jpg, 0, 0, 0, 1.734073E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_686.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_686.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_686.jpg, 0, 0, 0, 3.915031E-06
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_791.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_791.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_791.jpg, -0.1295382, 0, 0, 1.245056E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_37_897.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_37_897.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_37_897.jpg, -0.4444767, 0, 0, 4.589309E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_38_003.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_38_003.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_38_003.jpg, -0.7419994, 0, 0, 7.998158E-05
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_38_112.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_38_112.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_38_112.jpg, -1, 0, 0.1142979, 0.0193108
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_38_218.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_38_218.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_38_218.jpg, -1, 0, 0.4256955, 0.01518609
C:\Users\msi63\Desktop\SDCar\IMG\center_2019_11_13_05_31_38_321.jpg, C:\Users\msi63\Desktop\SDCar\IMG\left_2019_11_13_05_31_38_321.jpg, C:\Users\msi63\Desktop\SDCar\IMG\right_2019_11_13_05_31_38_321.jpg, -1, 0, 0.7166433, 0.03639089
